No_of_prevloans,Total_amount_due,Average_termdays,loannumber,good_bad_flag,age,bank_account_type_Current,loan_approval_time,loan_firstPayment_time
4.0,50500.0,26.25,5.0,1,36.0,0,1.0019444444444443,31.0
3.0,39000.0,30.0,4.0,1,36.0,0,1.0019444444444443,36.0
12.0,260887.5,27.5,13.0,1,31.0,0,1.0019444444444443,20.0
4.0,46000.0,15.0,5.0,0,33.0,0,1.0016666666666667,19.0
1.0,13000.0,30.0,2.0,1,58.0,0,1.018888888888889,28.0
4.0,51250.0,30.0,6.0,1,46.0,0,1.002222222222222,30.0
2.0,26000.0,30.0,3.0,1,45.0,0,1.018888888888889,23.0
3.0,39000.0,30.0,4.0,1,41.0,0,1.0019444444444443,24.0
1.0,13000.0,30.0,2.0,1,39.0,0,1.007777777777778,8.0
3.0,34500.0,15.0,4.0,0,38.0,0,1.0019444444444443,11.0
4.0,63500.0,30.0,5.0,1,48.0,0,1.0019444444444443,29.0
3.0,34500.0,15.0,4.0,0,37.0,0,1.0019444444444443,24.0
4.0,52000.0,30.0,5.0,1,38.0,0,1.0027777777777778,36.0
1.0,13000.0,30.0,2.0,1,39.0,0,1.003611111111111,25.0
5.0,85000.0,24.0,6.0,1,36.0,0,1.0016666666666667,26.0
1.0,11500.0,15.0,2.0,0,34.0,0,1.018888888888889,28.0
1.0,13000.0,30.0,2.0,1,36.0,0,1.0030555555555556,26.0
3.0,37500.0,25.0,4.0,1,51.0,0,1.0019444444444443,27.0
5.0,82800.0,21.0,6.0,1,32.0,0,1.0186111111111111,39.0
2.0,26000.0,30.0,3.0,0,34.0,0,1.0016666666666667,29.0
2.0,24500.0,22.5,3.0,1,41.0,0,1.0016666666666667,29.0
2.0,26000.0,30.0,3.0,1,32.0,0,1.002222222222222,31.0
6.0,76500.0,27.5,7.0,1,38.0,0,1.0016666666666667,29.0
9.0,134500.0,30.0,10.0,1,28.0,0,1.0186111111111111,25.0
1.0,39000.0,60.0,3.0,0,31.0,0,1.0191666666666668,32.0
1.0,13000.0,30.0,2.0,1,29.0,0,1.018888888888889,32.0
1.0,13000.0,30.0,2.0,0,38.0,0,1.0027777777777778,26.0
2.0,23000.0,15.0,3.0,1,37.0,1,1.0016666666666667,10.0
7.0,124100.0,30.0,8.0,1,32.0,0,1.0047222222222223,30.0
1.0,11500.0,15.0,2.0,1,32.0,0,1.003611111111111,18.0
4.0,60500.0,22.5,5.0,1,38.0,1,1.0019444444444443,26.0
2.0,24500.0,22.5,3.0,1,44.0,0,1.0016666666666667,28.0
9.0,193100.0,31.666666666666668,10.0,1,46.0,0,1.0019444444444443,34.0
10.0,336800.0,45.0,11.0,0,41.0,0,1.002222222222222,29.0
1.0,11500.0,15.0,2.0,1,34.0,0,1.018888888888889,9.0
1.0,13000.0,30.0,2.0,1,34.0,0,1.0186111111111111,31.0
5.0,88000.0,30.0,6.0,1,39.0,0,1.0019444444444443,29.0
4.0,63500.0,30.0,5.0,1,47.0,0,1.0019444444444443,26.0
4.0,46400.0,22.5,5.0,1,35.0,0,1.0019444444444443,8.0
3.0,39000.0,30.0,4.0,0,33.0,0,1.002222222222222,40.0
14.0,398200.0,32.142857142857146,15.0,0,43.0,0,1.0019444444444443,29.0
2.0,24500.0,22.5,3.0,1,41.0,0,1.0019444444444443,11.0
6.0,77050.0,30.0,7.0,1,31.0,0,1.0013888888888889,30.0
6.0,128000.0,22.5,7.0,1,43.0,0,1.0025,32.0
21.0,711475.0,25.0,22.0,1,39.0,0,1.002222222222222,18.0
4.0,57375.0,30.0,5.0,1,29.0,0,1.0186111111111111,18.0
4.0,52000.0,30.0,5.0,1,36.0,0,1.0016666666666667,28.0
1.0,13000.0,30.0,2.0,1,43.0,0,1.0025,18.0
1.0,13000.0,30.0,2.0,0,32.0,0,1.0197222222222222,13.0
1.0,11500.0,15.0,2.0,1,38.0,0,1.0202777777777778,4.0
6.0,84575.0,25.0,7.0,1,56.0,0,1.0016666666666667,33.0
1.0,13000.0,30.0,2.0,0,29.0,0,1.0186111111111111,50.0
5.0,115750.0,24.0,6.0,1,38.0,0,1.002222222222222,29.0
16.0,505600.0,30.0,17.0,0,37.0,0,1.0186111111111111,31.0
6.0,79000.0,15.0,7.0,1,33.0,0,1.018333333333333,3.0
2.0,26000.0,30.0,3.0,1,41.0,0,1.0019444444444443,55.0
4.0,63500.0,30.0,5.0,1,38.0,0,1.0019444444444443,21.0
1.0,11500.0,15.0,2.0,1,43.0,0,1.003611111111111,10.0
7.0,89500.0,27.857142857142858,8.0,1,44.0,0,1.0186111111111111,33.0
5.0,81875.0,30.0,6.0,1,47.0,0,1.0016666666666667,28.0
10.0,242500.0,24.0,11.0,1,36.0,0,1.0019444444444443,30.0
3.0,37500.0,25.0,4.0,0,32.0,0,1.0047222222222223,51.0
2.0,36000.0,30.0,5.0,1,47.0,0,1.002222222222222,22.0
9.0,263500.0,35.0,10.0,1,33.0,0,1.0019444444444443,25.0
1.0,13000.0,30.0,2.0,1,30.0,0,1.002222222222222,42.0
2.0,23000.0,15.0,3.0,1,35.0,0,1.0019444444444443,11.0
2.0,26000.0,30.0,3.0,0,40.0,0,1.0019444444444443,29.0
1.0,13000.0,30.0,2.0,0,45.0,0,1.005,32.0
4.0,59000.0,18.75,5.0,1,35.0,0,1.0019444444444443,30.0
2.0,26000.0,30.0,3.0,0,38.0,0,1.003611111111111,50.0
7.0,138675.0,27.857142857142858,8.0,1,43.0,0,1.0019444444444443,29.0
2.0,24500.0,22.5,3.0,1,46.0,0,1.0019444444444443,27.0
7.0,154025.0,38.57142857142857,8.0,1,39.0,0,1.018888888888889,10.0
2.0,26000.0,30.0,3.0,1,32.0,0,1.0016666666666667,11.0
1.0,13000.0,30.0,2.0,0,32.0,0,1.0186111111111111,30.0
7.0,147900.0,32.142857142857146,8.0,1,49.0,0,1.0019444444444443,29.0
2.0,26000.0,30.0,3.0,0,43.0,0,1.0019444444444443,36.0
11.0,328800.0,32.72727272727273,12.0,0,40.0,0,1.0016666666666667,17.0
2.0,24500.0,22.5,3.0,0,33.0,0,1.002222222222222,31.0
10.0,273525.0,37.5,11.0,1,38.0,0,1.0191666666666668,31.0
3.0,50500.0,30.0,4.0,1,46.0,1,1.0019444444444443,28.0
9.0,180800.0,28.33333333333333,10.0,1,37.0,0,1.0016666666666667,24.0
16.0,516875.0,30.0,17.0,1,35.0,0,1.002222222222222,14.0
8.0,128400.0,18.75,9.0,0,44.0,0,1.0047222222222223,29.0
2.0,24500.0,22.5,3.0,1,40.0,0,1.0019444444444443,28.0
8.0,180200.0,31.875,9.0,1,32.0,0,1.0016666666666667,29.0
2.0,24500.0,22.5,3.0,0,35.0,0,1.0019444444444443,38.0
1.0,13000.0,30.0,2.0,1,40.0,0,1.018888888888889,30.0
1.0,13000.0,30.0,2.0,1,38.0,0,1.0194444444444444,28.0
2.0,26000.0,30.0,3.0,1,35.0,0,1.0016666666666667,40.0
1.0,13000.0,30.0,2.0,0,33.0,0,1.0191666666666668,30.0
1.0,13000.0,30.0,2.0,1,38.0,0,1.018888888888889,10.0
5.0,78125.0,24.0,6.0,0,35.0,0,1.0194444444444444,17.0
11.0,169100.0,17.727272727272727,12.0,1,30.0,0,1.018333333333333,24.0
6.0,96625.0,17.5,7.0,1,40.0,0,1.0019444444444443,17.0
2.0,26000.0,30.0,3.0,1,50.0,0,1.0016666666666667,24.0
1.0,13000.0,30.0,2.0,1,33.0,0,1.018888888888889,30.0
1.0,11500.0,15.0,2.0,1,41.0,0,1.02,14.0
3.0,39000.0,30.0,4.0,1,47.0,0,1.0019444444444443,38.0
3.0,39000.0,30.0,4.0,0,45.0,0,1.0019444444444443,34.0
3.0,39000.0,30.0,4.0,1,48.0,0,1.0019444444444443,28.0
8.0,179250.0,35.625,9.0,1,36.0,0,1.0019444444444443,28.0
3.0,39000.0,30.0,4.0,1,41.0,0,1.0016666666666667,29.0
1.0,11500.0,15.0,2.0,0,34.0,0,1.0197222222222222,14.0
2.0,26000.0,30.0,3.0,0,48.0,0,1.0019444444444443,29.0
9.0,139175.0,23.33333333333333,10.0,1,48.0,0,1.0016666666666667,29.0
2.0,23000.0,15.0,3.0,1,35.0,0,1.0019444444444443,27.0
1.0,13000.0,30.0,2.0,1,32.0,0,1.0033333333333334,23.0
2.0,24500.0,22.5,3.0,1,30.0,0,1.0016666666666667,24.0
9.0,136300.0,26.666666666666668,10.0,1,32.0,0,1.002222222222222,29.0
1.0,11500.0,15.0,2.0,1,35.0,0,1.0191666666666668,12.0
1.0,11500.0,15.0,2.0,1,33.0,0,1.018888888888889,14.0
1.0,13000.0,30.0,2.0,0,37.0,0,1.0019444444444443,45.0
8.0,124850.0,20.625,9.0,1,39.0,0,1.0013888888888889,21.0
5.0,88000.0,30.0,6.0,1,49.0,0,1.018888888888889,28.0
11.0,337500.0,40.90909090909091,12.0,0,31.0,0,1.0038888888888888,33.0
1.0,11500.0,15.0,2.0,1,39.0,0,1.018888888888889,25.0
1.0,13000.0,30.0,2.0,1,39.0,0,1.002222222222222,31.0
2.0,26000.0,30.0,3.0,1,39.0,0,1.0019444444444443,27.0
6.0,106550.0,22.5,7.0,1,31.0,0,1.0186111111111111,10.0
3.0,37500.0,25.0,4.0,1,44.0,0,1.0019444444444443,27.0
1.0,13000.0,30.0,2.0,1,42.0,0,1.0033333333333334,32.0
6.0,78000.0,30.0,7.0,1,44.0,0,1.002222222222222,29.0
1.0,13000.0,30.0,2.0,1,44.0,0,1.0186111111111111,25.0
9.0,213650.0,35.0,10.0,1,30.0,0,1.0033333333333334,22.0
1.0,11500.0,15.0,2.0,1,41.0,0,1.018888888888889,14.0
7.0,144900.0,30.0,8.0,1,49.0,1,1.0019444444444443,29.0
11.0,323100.0,43.63636363636363,12.0,0,40.0,0,1.018888888888889,18.0
12.0,371500.0,36.25,13.0,1,34.0,0,1.0016666666666667,28.0
5.0,83500.0,21.0,6.0,1,42.0,0,1.0016666666666667,28.0
11.0,294200.0,30.0,12.0,1,34.0,0,1.0186111111111111,26.0
4.0,75000.0,30.0,5.0,1,33.0,0,1.0186111111111111,22.0
9.0,252650.0,28.33333333333333,10.0,1,43.0,0,1.0016666666666667,28.0
7.0,170150.0,40.71428571428572,8.0,1,34.0,0,1.0019444444444443,29.0
8.0,170800.0,30.0,9.0,1,51.0,0,1.0019444444444443,15.0
1.0,13000.0,30.0,2.0,1,52.0,0,1.018888888888889,31.0
4.0,56750.0,15.0,5.0,1,29.0,0,1.0016666666666667,15.0
2.0,26000.0,30.0,3.0,1,31.0,0,1.0016666666666667,30.0
12.0,343700.0,20.0,13.0,1,36.0,0,1.018333333333333,32.0
9.0,188600.0,33.333333333333336,10.0,1,31.0,0,1.0047222222222223,27.0
3.0,37500.0,25.0,4.0,1,41.0,0,1.0019444444444443,30.0
2.0,26000.0,30.0,3.0,1,51.0,0,1.002222222222222,26.0
8.0,204850.0,22.5,9.0,1,43.0,0,1.0019444444444443,15.0
11.0,237400.0,19.09090909090909,12.0,0,40.0,0,1.018888888888889,30.0
1.0,11500.0,15.0,2.0,1,34.0,0,1.0202777777777778,13.0
13.0,377400.0,27.692307692307693,14.0,1,29.0,0,1.0186111111111111,29.0
3.0,37500.0,25.0,4.0,1,35.0,0,1.002222222222222,29.0
1.0,13000.0,30.0,2.0,0,37.0,0,1.0194444444444444,31.0
1.0,13000.0,30.0,2.0,1,50.0,0,1.018888888888889,30.0
6.0,101250.0,15.0,7.0,1,44.0,0,1.0019444444444443,9.0
1.0,13000.0,30.0,2.0,1,46.0,0,1.0191666666666668,21.0
12.0,382025.0,46.25,13.0,1,29.0,0,1.0038888888888888,36.0
2.0,24500.0,22.5,3.0,1,45.0,0,1.0019444444444443,28.0
1.0,11500.0,15.0,2.0,1,48.0,0,1.018888888888889,15.0
1.0,13000.0,30.0,2.0,1,45.0,0,1.002222222222222,16.0
11.0,249350.0,20.454545454545453,12.0,1,35.0,0,1.0016666666666667,22.0
1.0,13000.0,30.0,2.0,1,39.0,0,1.0191666666666668,26.0
8.0,150725.0,22.5,9.0,1,36.0,0,1.018333333333333,31.0
2.0,23000.0,15.0,3.0,0,50.0,0,1.0016666666666667,20.0
5.0,76500.0,30.0,6.0,1,42.0,0,1.0066666666666666,30.0
1.0,13000.0,30.0,2.0,1,44.0,0,1.0191666666666668,29.0
1.0,13000.0,30.0,2.0,1,38.0,0,1.0019444444444443,45.0
14.0,296350.0,30.0,15.0,1,55.0,0,1.0041666666666669,28.0
1.0,13000.0,30.0,2.0,1,41.0,0,1.018888888888889,29.0
6.0,107300.0,22.5,7.0,1,42.0,0,1.0033333333333334,29.0
1.0,11500.0,15.0,2.0,1,36.0,0,1.0194444444444444,13.0
2.0,26000.0,30.0,3.0,1,41.0,0,1.0019444444444443,6.0
1.0,11500.0,15.0,2.0,1,35.0,0,1.0208333333333333,15.0
4.0,52000.0,30.0,5.0,1,40.0,0,1.0186111111111111,24.0
6.0,97300.0,25.0,7.0,1,41.0,0,1.0016666666666667,23.0
4.0,50500.0,26.25,5.0,1,30.0,0,1.018333333333333,31.0
3.0,37500.0,25.0,4.0,0,48.0,0,1.0016666666666667,43.0
1.0,11500.0,15.0,2.0,1,43.0,0,1.0025,6.0
6.0,111800.0,30.0,7.0,0,37.0,0,1.0016666666666667,29.0
4.0,63500.0,30.0,5.0,1,32.0,0,1.0019444444444443,26.0
1.0,11500.0,15.0,2.0,1,37.0,0,1.018888888888889,14.0
5.0,123400.0,42.0,6.0,1,39.0,0,1.0041666666666669,29.0
2.0,26000.0,30.0,3.0,1,42.0,0,1.0019444444444443,28.0
6.0,72000.0,20.0,7.0,0,37.0,0,1.0019444444444443,15.0
6.0,129950.0,25.0,7.0,1,34.0,0,1.0186111111111111,28.0
1.0,11500.0,15.0,2.0,1,37.0,0,1.018888888888889,10.0
8.0,151500.0,33.75,9.0,1,46.0,0,1.018888888888889,36.0
3.0,36000.0,20.0,4.0,1,37.0,0,1.0019444444444443,26.0
10.0,296250.0,24.0,11.0,0,37.0,0,1.0019444444444443,31.0
8.0,175687.5,20.625,9.0,1,36.0,0,1.002222222222222,46.0
2.0,24500.0,22.5,3.0,0,43.0,0,1.0016666666666667,23.0
11.0,249950.0,30.0,12.0,1,49.0,0,1.018888888888889,32.0
4.0,62000.0,26.25,5.0,0,31.0,0,1.018333333333333,30.0
7.0,171600.0,34.285714285714285,8.0,1,38.0,0,1.0019444444444443,31.0
4.0,52000.0,30.0,5.0,1,37.0,0,1.0019444444444443,57.0
8.0,176250.0,24.375,9.0,1,42.0,0,1.0016666666666667,15.0
1.0,13000.0,30.0,2.0,1,52.0,0,1.018888888888889,27.0
3.0,34500.0,15.0,4.0,1,33.0,0,1.0019444444444443,18.0
5.0,61625.0,24.0,6.0,1,37.0,0,1.0197222222222222,14.0
5.0,58500.0,30.0,6.0,1,37.0,0,1.0186111111111111,26.0
1.0,13000.0,30.0,2.0,0,44.0,0,2.4744444444444444,41.0
1.0,11500.0,15.0,2.0,1,36.0,0,1.0125,14.0
13.0,314575.0,21.923076923076923,14.0,1,45.0,0,1.0019444444444443,22.0
3.0,47500.0,20.0,4.0,0,50.0,0,1.0019444444444443,42.0
5.0,95100.0,24.0,6.0,1,36.0,0,1.0019444444444443,27.0
1.0,13000.0,30.0,2.0,0,31.0,0,1.0030555555555556,44.0
2.0,26000.0,30.0,3.0,0,37.0,0,1.0016666666666667,16.0
1.0,11500.0,15.0,2.0,1,37.0,0,1.0186111111111111,14.0
6.0,111800.0,30.0,7.0,1,41.0,0,1.0019444444444443,29.0
5.0,69400.0,18.0,6.0,1,34.0,0,1.0019444444444443,31.0
1.0,13000.0,30.0,2.0,1,41.0,0,1.0186111111111111,29.0
1.0,11500.0,15.0,2.0,0,34.0,0,1.0191666666666668,21.0
6.0,78000.0,30.0,7.0,1,34.0,0,1.0016666666666667,3.0
1.0,11500.0,15.0,2.0,1,35.0,0,1.0041666666666669,1.0
4.0,62000.0,26.25,5.0,0,28.0,0,1.0033333333333334,28.0
15.0,389500.0,28.0,17.0,1,46.0,0,1.002222222222222,8.0
5.0,60000.0,21.0,6.0,1,40.0,0,1.002222222222222,13.0
1.0,11500.0,15.0,2.0,1,34.0,0,1.0108333333333333,12.0
2.0,24500.0,22.5,3.0,1,42.0,0,1.0016666666666667,35.0
9.0,217500.0,28.33333333333333,10.0,1,46.0,0,1.0019444444444443,30.0
1.0,13000.0,30.0,2.0,1,41.0,0,1.018888888888889,20.0
6.0,105050.0,20.0,7.0,1,55.0,0,1.018333333333333,15.0
2.0,24500.0,22.5,3.0,1,42.0,0,1.0016666666666667,17.0
14.0,478800.0,35.357142857142854,15.0,1,42.0,0,1.002222222222222,25.0
1.0,11500.0,15.0,2.0,1,33.0,0,1.0186111111111111,7.0
2.0,26000.0,30.0,3.0,1,41.0,0,1.0016666666666667,30.0
6.0,106500.0,22.5,7.0,1,39.0,0,1.002222222222222,28.0
4.0,63500.0,30.0,6.0,1,45.0,0,1.0016666666666667,28.0
3.0,36000.0,20.0,4.0,1,38.0,0,1.0016666666666667,14.0
2.0,26000.0,30.0,3.0,1,36.0,0,1.0019444444444443,30.0
2.0,26000.0,30.0,3.0,0,30.0,0,1.002222222222222,57.0
3.0,37500.0,25.0,4.0,1,34.0,0,1.0019444444444443,31.0
7.0,145600.0,30.0,8.0,1,36.0,0,1.0019444444444443,26.0
5.0,65000.0,30.0,6.0,0,36.0,0,1.0044444444444445,48.0
1.0,11500.0,15.0,2.0,1,54.0,0,1.0186111111111111,15.0
4.0,63500.0,30.0,5.0,1,44.0,0,1.0041666666666669,30.0
7.0,138850.0,21.428571428571427,8.0,0,42.0,0,1.002222222222222,21.0
7.0,116550.0,19.285714285714285,8.0,1,47.0,0,1.0016666666666667,13.0
10.0,208000.0,22.5,11.0,1,37.0,0,1.0019444444444443,27.0
16.0,410300.0,31.875,17.0,1,32.0,0,1.0025,30.0
9.0,235050.0,31.666666666666668,10.0,1,54.0,0,1.0019444444444443,30.0
5.0,60500.0,21.0,6.0,0,36.0,0,1.0186111111111111,36.0
1.0,13000.0,30.0,2.0,1,44.0,0,1.018888888888889,25.0
5.0,75000.0,27.0,6.0,1,48.0,0,1.0016666666666667,29.0
1.0,13000.0,30.0,2.0,1,37.0,0,1.0191666666666668,3.0
10.0,286000.0,28.5,11.0,1,47.0,0,1.0019444444444443,24.0
2.0,23000.0,15.0,3.0,1,35.0,0,1.0016666666666667,13.0
2.0,23000.0,15.0,3.0,1,43.0,0,1.0019444444444443,11.0
5.0,84300.0,24.0,6.0,0,43.0,0,1.018888888888889,21.0
3.0,39000.0,30.0,4.0,0,48.0,0,1.0016666666666667,35.0
1.0,13000.0,30.0,2.0,1,36.0,0,1.0191666666666668,5.0
1.0,13000.0,30.0,2.0,0,54.0,0,1.0186111111111111,33.0
3.0,39000.0,30.0,4.0,0,49.0,0,1.0019444444444443,29.0
2.0,26000.0,30.0,3.0,1,38.0,0,1.0019444444444443,28.0
5.0,98000.0,27.0,6.0,1,30.0,0,1.0019444444444443,26.0
1.0,13000.0,30.0,2.0,0,33.0,0,1.0027777777777778,3.0
7.0,135400.0,17.142857142857142,8.0,1,41.0,0,1.0013888888888889,26.0
4.0,50500.0,26.25,5.0,1,37.0,0,1.0019444444444443,25.0
11.0,273175.0,21.818181818181817,12.0,1,44.0,0,1.0041666666666669,27.0
2.0,24500.0,22.5,3.0,1,38.0,0,1.0019444444444443,13.0
1.0,13000.0,30.0,2.0,1,50.0,0,1.018888888888889,29.0
10.0,306000.0,36.0,11.0,1,39.0,0,1.0019444444444443,31.0
3.0,37500.0,25.0,4.0,1,39.0,0,1.0019444444444443,10.0
13.0,293525.0,19.615384615384617,14.0,1,40.0,0,1.0016666666666667,34.0
8.0,157049.9,18.75,9.0,1,55.0,0,1.0186111111111111,28.0
1.0,11500.0,15.0,2.0,1,48.0,0,1.0191666666666668,16.0
1.0,13000.0,30.0,2.0,0,35.0,0,1.0019444444444443,34.0
7.0,135362.5,17.142857142857142,8.0,1,50.0,0,1.0016666666666667,28.0
8.0,177900.0,30.0,9.0,1,36.0,0,1.0027777777777778,27.0
1.0,13000.0,30.0,2.0,0,39.0,0,1.9102777777777775,58.0
1.0,13000.0,30.0,2.0,1,40.0,0,1.018888888888889,10.0
2.0,26000.0,30.0,3.0,1,50.0,1,1.0016666666666667,18.0
1.0,11500.0,15.0,2.0,1,43.0,0,1.0033333333333334,16.0
9.0,192400.0,30.0,10.0,1,38.0,0,1.018888888888889,29.0
8.0,191187.5,26.25,9.0,1,35.0,0,1.018888888888889,28.0
1.0,13000.0,30.0,2.0,1,45.0,0,1.018888888888889,21.0
1.0,13000.0,30.0,2.0,1,36.0,0,1.005,5.0
2.0,26000.0,30.0,3.0,0,34.0,0,1.0016666666666667,31.0
2.0,24500.0,22.5,3.0,1,44.0,0,1.0016666666666667,30.0
5.0,88000.0,30.0,6.0,1,38.0,0,1.018333333333333,29.0
4.0,62000.0,26.25,5.0,1,38.0,0,1.0016666666666667,28.0
1.0,13000.0,30.0,2.0,1,45.0,0,1.002222222222222,36.0
1.0,11500.0,15.0,2.0,1,36.0,0,1.018888888888889,25.0
9.0,145750.0,16.666666666666668,10.0,0,33.0,0,1.0019444444444443,29.0
6.0,109200.0,27.5,7.0,1,52.0,0,1.0027777777777778,27.0
2.0,24500.0,22.5,3.0,0,36.0,0,1.0016666666666667,31.0
12.0,391350.0,35.0,13.0,1,35.0,0,1.0019444444444443,27.0
10.0,313350.0,28.5,11.0,1,34.0,0,1.0019444444444443,29.0
1.0,13000.0,30.0,2.0,1,49.0,0,1.018888888888889,25.0
5.0,79000.0,15.0,6.0,1,44.0,0,1.0016666666666667,17.0
1.0,13000.0,30.0,2.0,1,38.0,0,1.0027777777777778,15.0
2.0,24000.0,22.5,3.0,1,36.0,0,1.0019444444444443,24.0
1.0,13000.0,30.0,2.0,1,40.0,0,1.018888888888889,22.0
1.0,13000.0,30.0,2.0,1,44.0,0,1.0191666666666668,30.0
8.0,188350.0,37.5,9.0,1,58.0,0,1.0016666666666667,29.0
1.0,11500.0,15.0,2.0,1,33.0,0,1.0047222222222223,13.0
1.0,13000.0,30.0,2.0,0,40.0,0,1.0047222222222223,27.0
1.0,13000.0,30.0,2.0,1,43.0,0,1.0191666666666668,20.0
4.0,48250.0,22.5,5.0,1,35.0,0,1.0016666666666667,29.0
9.0,231150.0,38.333333333333336,10.0,1,36.0,0,1.0019444444444443,30.0
14.0,453950.0,26.785714285714285,15.0,1,45.0,0,1.0016666666666667,27.0
1.0,13000.0,30.0,2.0,0,39.0,0,1.0041666666666669,23.0
5.0,75250.0,30.0,6.0,0,33.0,0,1.0186111111111111,32.0
2.0,26000.0,30.0,3.0,0,37.0,0,1.0027777777777778,32.0
1.0,13000.0,30.0,2.0,1,39.0,0,1.0191666666666668,11.0
7.0,124100.0,30.0,8.0,1,36.0,0,1.018888888888889,28.0
14.0,416050.0,23.571428571428573,15.0,1,48.0,0,1.018333333333333,29.0
1.0,13000.0,30.0,2.0,0,36.0,0,1.0191666666666668,28.0
6.0,101250.0,17.5,7.0,1,44.0,0,1.0025,22.0
1.0,13000.0,30.0,2.0,1,31.0,0,1.0197222222222222,10.0
7.0,159400.0,34.285714285714285,8.0,1,41.0,0,1.0016666666666667,29.0
3.0,37500.0,25.0,4.0,1,34.0,0,1.0019444444444443,29.0
5.0,79000.0,15.0,6.0,1,42.0,1,1.0019444444444443,15.0
1.0,11500.0,15.0,2.0,1,37.0,0,1.03,2.0
1.0,13000.0,30.0,2.0,1,43.0,0,1.002222222222222,22.0
1.0,13000.0,30.0,2.0,0,35.0,0,1.0186111111111111,33.0
4.0,83375.0,37.5,5.0,1,30.0,0,1.0019444444444443,15.0
1.0,13000.0,30.0,2.0,1,33.0,0,1.0197222222222222,9.0
5.0,75000.0,27.0,6.0,1,47.0,0,1.0016666666666667,24.0
10.0,285700.0,43.5,11.0,0,43.0,0,1.0019444444444443,31.0
